id;value
Augustinópolis;172000
Augustinópolis;172010
Augustinópolis;172020
Augustinópolis;172030
Augustinópolis;172080
Augustinópolis;172120
Dianópolis;170040
Dianópolis;170240
Dianópolis;170270
Dianópolis;170555
Dianópolis;170560
Dianópolis;170700
Dianópolis;171215
Dianópolis;171515
Dianópolis;171525
Dianópolis;171620
Dianópolis;171780
Dianópolis;171800
Dianópolis;171865
Dianópolis;172090
Dianópolis;172093
Guaraí;170230
Guaraí;170305
Guaraí;170320
Guaraí;170330
Guaraí;170360
Guaraí;170410
Guaraí;170550
Guaraí;170600
Guaraí;170830
Guaraí;170930
Guaraí;171050
Guaraí;171090
Guaraí;171110
Guaraí;171180
Guaraí;171570
Guaraí;171650
Guaraí;171665
Guaraí;171670
Guaraí;171840
Guaraí;171850
Guaraí;171888
Guaraí;172125
Guaraí;172130
Gurupi;170035
Gurupi;170070
Gurupi;170200
Gurupi;170386
Gurupi;170625
Gurupi;170730
Gurupi;170765
Gurupi;170820
Gurupi;170950
Gurupi;171150
Gurupi;171575
Gurupi;171660
Gurupi;171884
Gurupi;171889
Gurupi;172025
Gurupi;172049
Gurupi;172085
Gurupi;172097
Palmas;170110
Palmas;170825
Palmas;171195
Palmas;171200
Palmas;171240
Palmas;171320
Palmas;171330
Palmas;171510
Palmas;171870
Palmas;171875
Palmas;171900
Palmas;172015
Palmas;172100
Palmas;172110
Paraíso;170025
Paraíso;170190
Paraíso;170310
Paraíso;170390
Paraíso;170460
Paraíso;170610
Paraíso;170710
Paraíso;170720
Paraíso;171190
Paraíso;171250
Paraíso;171370
Paraíso;171500
Paraíso;171550
Paraíso;171610
Paraíso;171750
Paraíso;171845
Porto Nacional;170370
Porto Nacional;170510
Porto Nacional;170755
Porto Nacional;170980
Porto Nacional;171270
Porto Nacional;171360
Porto Nacional;171420
Porto Nacional;171700
Porto Nacional;171790
Porto Nacional;171820
Porto Nacional;171890
Porto Nacional;172065
Ignorado - TO;170000
Ignorado - TO;179999
Ignorado - TO;170172
Ignorado - TO;171350
Ignorado - TO;172206
Açailândia;210005
Açailândia;210203
Açailândia;210232
Açailândia;210325
Açailândia;210542
Açailândia;211085
Açailândia;211153
Açailândia;211285
Bacabal;210040
Bacabal;210120
Bacabal;210207
Bacabal;210215
Bacabal;210355
Bacabal;210590
Bacabal;210635
Bacabal;210740
Bacabal;210810
Bacabal;211140
Bacabal;211300
Balsas;210050
Balsas;210140
Balsas;210280
Balsas;210407
Balsas;210409
Balsas;210410
Balsas;210610
Balsas;210725
Balsas;210950
Balsas;210970
Balsas;211080
Balsas;211157
Balsas;211160
Balsas;211200
Barra do Corda;210095
Barra do Corda;210160
Barra do Corda;210408
Barra do Corda;210480
Barra do Corda;210535
Barra do Corda;210547
Caxias;210010
Caxias;210030
Caxias;210220
Caxias;210300
Caxias;210340
Caxias;210390
Caxias;211107
Chapadinha;210015
Chapadinha;210080
Chapadinha;210090
Chapadinha;210210
Chapadinha;210320
Chapadinha;210630
Chapadinha;210640
Chapadinha;210667
Chapadinha;210805
Chapadinha;211010
Chapadinha;211023
Chapadinha;211060
Chapadinha;211250
Codó;210043
Codó;210330
Codó;213307
Codó;210360
Codó;210845
Codó;211150
Codó;211210
Imperatriz;210060
Imperatriz;210235
Imperatriz;210255
Imperatriz;210375
Imperatriz;210405
Imperatriz;210455
Imperatriz;210530
Imperatriz;210550
Imperatriz;210598
Imperatriz;210700
Imperatriz;210900
Imperatriz;210955
Imperatriz;211105
Imperatriz;211176
Imperatriz;211180
Itapecuru Mirim;210070
Itapecuru Mirim;210100
Itapecuru Mirim;210173
Itapecuru Mirim;210270
Itapecuru Mirim;210540
Itapecuru Mirim;210663
Itapecuru Mirim;210675
Itapecuru Mirim;210720
Itapecuru Mirim;210880
Itapecuru Mirim;210930
Itapecuru Mirim;211040
Itapecuru Mirim;211260
Itapecuru Mirim;211270
Itapecuru Mirim;211290
Pedreiras;210193
Pedreiras;210400
Pedreiras;210520
Pedreiras;210570
Pedreiras;210580
Pedreiras;210594
Pedreiras;210596
Pedreiras;210600
Pedreiras;210820
Pedreiras;210890
Pedreiras;211163
Pedreiras;211167
Pedreiras;211223
Pinheiro;210083
Pinheiro;210130
Pinheiro;210190
Pinheiro;210310
Pinheiro;210312
Pinheiro;210370
Pinheiro;210490
Pinheiro;210680
Pinheiro;210825
Pinheiro;210840
Pinheiro;210860
Pinheiro;210905
Pinheiro;210927
Pinheiro;210980
Pinheiro;211178
Pinheiro;211240
Pinheiro;211245
Presidente Dutra;210275
Presidente Dutra;210380
Presidente Dutra;210420
Presidente Dutra;210440
Presidente Dutra;210450
Presidente Dutra;210460
Presidente Dutra;210462
Presidente Dutra;210470
Presidente Dutra;210560
Presidente Dutra;210910
Presidente Dutra;210975
Presidente Dutra;211030
Presidente Dutra;211070
Presidente Dutra;211125
Presidente Dutra;211174
Presidente Dutra;211230
Rosário;210110
Rosário;210125
Rosário;210170
Rosário;211707
Rosário;210237
Rosário;210500
Rosário;210510
Rosário;210710
Rosário;210920
Rosário;210940
Rosário;210960
Rosário;211020
Rosário;211027
Santa Inês;210047
Santa Inês;210177
Santa Inês;210200
Santa Inês;210465
Santa Inês;210515
Santa Inês;210690
Santa Inês;210850
Santa Inês;210870
Santa Inês;210990
Santa Inês;211000
Santa Inês;211102
Santa Inês;211172
Santa Inês;211227
São João dos Patos;210150
São João dos Patos;210180
São João dos Patos;210230
São João dos Patos;210350
São João dos Patos;210545
São João dos Patos;210592
São João dos Patos;210670
São João dos Patos;210730
São João dos Patos;210770
São João dos Patos;210790
São João dos Patos;210800
São João dos Patos;211065
São João dos Patos;211110
São João dos Patos;211190
São João dos Patos;211195
São Luís;210020
São Luís;210750
São Luís;210945
São Luís;211120
São Luís;211130
Timon;210660
Timon;210780
Timon;211090
Timon;211220
Viana;210135
Viana;210240
Viana;210250
Viana;210650
Viana;210745
Viana;210760
Viana;210830
Viana;211050
Viana;211100
Viana;211170
Viana;211280
Zé Doca;210055
Zé Doca;210087
Zé Doca;210197
Zé Doca;210260
Zé Doca;210290
Zé Doca;210315
Zé Doca;210317
Zé Doca;210430
Zé Doca;210467
Zé Doca;210565
Zé Doca;210620
Zé Doca;210632
Zé Doca;210637
Zé Doca;210735
Zé Doca;210923
Zé Doca;211003
Zé Doca;211400
Ignorado - MA;210000
Ignorado - MA;219999
Carnaubais;220105
Carnaubais;220177
Carnaubais;220194
Carnaubais;220202
Carnaubais;220205
Carnaubais;220220
Carnaubais;220260
Carnaubais;220271
Carnaubais;220527
Carnaubais;220551
Carnaubais;220675
Carnaubais;220695
Carnaubais;220990
Carnaubais;221040
Carnaubais;221065
Chapada das Mangabeiras;220045
Chapada das Mangabeiras;220110
Chapada das Mangabeiras;220130
Chapada das Mangabeiras;220190
Chapada das Mangabeiras;220275
Chapada das Mangabeiras;220290
Chapada das Mangabeiras;220300
Chapada das Mangabeiras;220310
Chapada das Mangabeiras;220320
Chapada das Mangabeiras;220323
Chapada das Mangabeiras;220360
Chapada das Mangabeiras;220440
Chapada das Mangabeiras;220552
Chapada das Mangabeiras;220660
Chapada das Mangabeiras;220665
Chapada das Mangabeiras;220740
Chapada das Mangabeiras;220760
Chapada das Mangabeiras;220870
Chapada das Mangabeiras;220885
Chapada das Mangabeiras;220920
Chapada das Mangabeiras;220930
Chapada das Mangabeiras;220975
Chapada das Mangabeiras;221062
