value;cod
WAYANA (WAIANA, UAIANA);0242
WITOTO (UITOTO, HUITOTO);0243
XAKRIABA (XACRIABA);0244
XAVANTE (A'UWE, AKWE, AWEN, AKWEN);0245
XERENTE (AKWE, AWEN, AKWEN);0246
XETA;0247
XIPAIA (SHIPAYA, XIPAYA);0248
XOKLENG (SHOKLENG, XOCLENG);0249
XOKO (XOCO, CHOCO);0250
XUKURU (XUCURU);0251
XUKURU KARIRI (XUCURU-KARIRI);0252
YAIPIYANA;0253
YAMINAWA (JAMINAWA, IAMINAWA);0254
YANOMAMI NINAM (IANOMAMI, IANOAMA, XIRIA­NA);0255
YANOMAMI SANUMA (IANOMAMI, IANOAMA, XI­RIANA);0256
YANOMAMI YANOMAM (IANOMAMI, IANOAMA, XI­RIANA);0257
YAWALAPITI (IAUALAPITI);0258
YAWANAWA (IAUANAUA);0259
YEKUANA (MAIONGON, YE'KUANA, YEKWANA, MAYONGONG);0260
YUDJA (JURUNA, YURUNA);0261
ZO'E (POTURU);0262
ZORO (PAGEYN);0263
ZURUAHA (SOROWAHA, SURUWAHA);0264
